"","country","code","healthexp_usd_percap_2019","mat_mort_2017","health_exp_gdp_2019","infant_mort_2020","healthexp_usd_percap_2019_z","infant_mort_2020_z","mat_mort_2017_z","healthexp_usd_percap_2019_z_transformed","infant_mort_2020_z_transformed","mat_mort_2017_z_transformed","life_exp_2019","life_exp_2019_z","life_exp_2019_z_transformed"
"1","Afghanistan","AFG",65.8,638,13.24220181,45,-0.572526984295911,1.23005201094339,1.94942076229809,-0.369091294972511,0.348314992107489,0.423150935357694,63.565,-1.13565024135772,0.27052739085011
"2","Albania","ALB",NA,15,NA,8.8,NA,-0.620390338699733,-0.636235994325498,NA,-0.420662743041373,-1.19542440824167,79.282,0.903426759707106,0.591446035076789
"3","Algeria","DZA",248.2,112,6.24337101,19.5,-0.477398739402346,-0.0734363845234511,-0.233653802684265,-0.281829547019821,-0.0331247577784581,-0.331291560214574,76.474,0.539125161501976,0.548895921775258
"4","Angola","AGO",71.3,241,2.53335953,48.3,-0.569658533929054,1.39873874447439,0.301739008879849,-0.366186804932654,0.379982949922108,0.000754586034591959,62.448,-1.28056651101411,0.235385381132108
"5","Argentina","ARG",946,39,9.5100708,7.6,-0.113470618312821,-0.681730969074643,-0.536628029383337,-0.0523068662749582,-0.497205618220233,-0.786822452397871,77.284,0.644212160984226,0.561603653060162
"6","Armenia","ARM",524,26,11.33526421,9.7,-0.333558991915256,-0.574384865918551,-0.590582343727008,-0.176238287356119,-0.370982937735553,-0.96091259204994,75.439,0.404847328830212,0.532097643199441
"7","Australia","AUS",5427.5,6,9.91078568,3.1,2.2237948942448,-0.911758332980557,-0.673588981178808,0.508367403129561,-1.05432629600636,-1.57821484529489,82.9,1.37281535739449,0.640761139600134
"8","Austria","AUT",5242.2,5,10.43403149,3,2.12715419370325,-0.916870052178466,-0.677739313051399,0.495149295961025,-1.08024249209316,-1.65246143778282,81.89512195,1.24244545724625,0.627616267543809
"9","Azerbaijan","AZE",193.1,26,4.03829002,17.3,-0.506135396713943,-0.185894206877453,-0.590582343727008,-0.306392099872931,-0.0893191548357206,-0.96091259204994,73.102,0.101651874768464,0.491593051584818
"10","Bahamas","BHS",2004.6,70,5.74977493,10.5,0.438627846842483,-0.533491112335277,-0.407967741333046,0.157948462480117,-0.331140077904667,-0.534569172567866,71.205,-0.144459283278236,0.455688357084055
"11","Bahrain","BHR",940.4,14,4.01147509,5.8,-0.116391222322711,-0.773741914637009,-0.640386326198088,-0.0537399785431604,-0.645395892273964,-1.22465411315234,80.019,0.999042955532314,0.601956069112381
"12","Bangladesh","BGD",45.9,173,2.48357606,24.3,-0.582905559259627,0.171926136976189,0.019516441543727,-0.379765598626644,0.0689002402532865,-0.142959277627124,72.806,0.0632497119947034,0.486182401351449
"13","Barbados","BRB",1143.3,27,6.29990387,11.4,-0.0105714806072271,-0.487485639554095,-0.586432011854418,-0.00461557564113034,-0.290293961345302,-0.944744067664888,77.257,0.640709261001484,0.561185998520796
"14","Belarus","BLR",399.4,2,5.86133957,2.2,-0.398542431135312,-0.957763805761739,-0.690190308669169,-0.22079500549441,-1.37431522152978,-2.00834465780106,74.22682927,0.247583890711808,0.511560378467975
"15","Belgium","BEL",4960.4,5,10.65604973,3.4,1.98018522763414,-0.896423175386829,-0.677739313051399,0.474243257646541,-0.984737407414636,-1.65246143778282,81.99512195,1.25541916088603,0.628942344748235
"16","Belize","BLZ",293.4,36,5.96689224,10,-0.45382529275109,-0.559049708324823,-0.549079025001108,-0.262668415431303,-0.355610365788261,-0.821250397777489,73.931,0.209203877942272,0.506397308324148
"17","Benin","BEN",29.1,397,2.38842916,56.5,-0.591667371289298,1.81789971870295,0.949190781003894,-0.388985915441114,0.449925533702762,0.217270898424781,60.454,-1.5392621615914,0.164572279213678
"18","Bhutan","BTN",116,183,3.60761595,23.2,-0.546345855492967,0.115697225799188,0.0610197602696273,-0.343275117128127,0.0475463531990957,-0.118604066403351,71.391,-0.120328194508237,0.459342994291934
"19","Bolivia","BOL",245.9,155,6.9233799,20.7,-0.478598273192122,-0.012095754148541,-0.0551895321628936,-0.282827534844156,-0.00528514803750852,-0.190567920819914,67.841,-0.580894673720566,0.38365477767405
"20","Bosnia and Herzegovina","BIH",553.8,10,9.04909897,4.9,-0.318017206291198,-0.819747387418191,-0.656987653688448,-0.166226582369308,-0.74411843189763,-1.36640686615629,77.241,0.638633468419118,0.560938309870311
"21","Botswana","BWA",481.5,144,6.04836559,36.1,-0.355724290204601,0.775109002329473,-0.100843182761384,-0.190928241928027,0.249225026493492,-0.222459494892688,65.464,-0.889279609238227,0.324430705694177
"22","Brazil","BRA",853.4,60,9.5912714,13.1,-0.161764891762076,-0.400586413189639,-0.449471060058947,-0.076634153339099,-0.222273417196361,-0.601142099214887,75.338,0.39174388815403,0.530423051084446
"23","Brunei","BRN",671.6,10,2.16031361,9.6,-0.256580214797438,-0.57949658511646,-0.656987653688448,-0.128765884873392,-0.376230472971763,-1.36640686615629,74.748,0.315199036679307,0.520509607533137
"24","Bulgaria","BGR",697.9,320,7.12611389,5.1,-0.242863806679561,-0.809523949022373,0.629615226814462,-0.120825992775408,-0.720159621469219,0.123725980028808,75.11219512,0.362448632218661,0.526655658389086
"25","Burkina Faso","BFA",42.3,548,5.46494246,52.8,-0.584783090408842,1.62876610838031,1.57589089376499,-0.381724968279557,0.419751946943734,0.357151438139735,60.039,-1.5931030316965,0.148262293784665
"26","Burundi","BDI",20.6,NA,7.99091434,38.6,-0.596100430947167,0.902901982277202,NA,-0.393726610207274,0.279416418527448,NA,62.351,-1.2931510035447,0.232195101134048
"27","Cabo Verde","CPV",177.9,58,4.93621731,12.2,-0.514062750455074,-0.446591885970821,-0.457771723804127,-0.313419808795063,-0.256954477554545,-0.615775161444606,76.004,0.478148754394992,0.541348152086303
"28","Cambodia","KHM",113.3,160,6.98908329,22,-0.547754003854878,0.0543565954242783,-0.0344378727999434,-0.344625269376445,0.0229875190673423,-0.176811398880784,70.692,-0.211014382950328,0.44544627459159
"29","Cameroon","CMR",54,529,3.59539533,48.3,-0.578681114173893,1.39873874447439,1.49703458818578,-0.375389072973242,0.379982949922108,0.341836894125781,61.584,-1.39265931046184,0.206107938931801
"30","Canada","CAN",5048.4,10,10.84447765,4.4,2.02608043350384,-0.845305983407737,-0.656987653688448,0.480880467428949,-0.810526484046059,-1.36640686615629,82.04878049,1.26238066084307,0.629652232689616
"31","Central African Republic","CAF",37.2,829,7.75300884,77.5,-0.587442926203564,2.89136075026387,2.74213414996279,-0.384515961974057,0.59010149412591,0.536827792038398,55.025,-2.24360453219526,-0.121251082039176
"32","Chad","TCD",29.9,1140,4.3536315,67.4,-0.591250142145028,2.37507711127505,4.03288736233829,-0.388542385359943,0.528283699720726,0.675126168846395,53.259,-2.47272013847385,-0.277958815421964
"33","Chile","CHL",1375.8,13,9.33272362,5.8,0.110685739446248,-0.773741914637009,-0.644536658070678,0.0455911958168338,-0.645395892273964,-1.25599396566807,80.326,1.03887222570645,0.606260113989899
"34","China","CHN",535.1,29,5.3502779,5.5,-0.32776993753851,-0.789077072230736,-0.578131348109238,-0.172482069567823,-0.675876208963887,-0.914107993001022,77.968,0.732952293880347,0.572052439795872
"35","Colombia","COL",495.3,83,7.70943594,11.4,-0.348527087465943,-0.487485639554095,-0.354013426989376,-0.186103637022079,-0.290293961345302,-0.460940754908213,76.752,0.575192057620574,0.553299376857217
"36","Comoros","COM",72.3,273,5.17030334,47.2,-0.569136997498717,1.34250983329739,0.43454962880273,-0.365660796464836,0.369681422628261,0.0548234980559065,64.068,-1.07039251204961,0.285468975767492
"37","Congo (Dem. Rep.)","COD",20.6,473,3.53626084,63.8,-0.596100430947167,2.19105522015032,1.26461600332074,-0.393726610207274,0.503934319580246,0.293277677390474,60.276,-1.56235535407021,0.157651551287808
"38","Congo (Rep.)","COG",48.6,378,2.08331084,33,-0.581497410897716,0.616645707194288,0.870334475424684,-0.378301850862222,0.208614853382269,0.195992165377491,62.747,-1.24177513713115,0.245074417073421
"39","Costa Rica","CRI",921.6,27,7.27393246,6.7,-0.126196107213056,-0.727736441855826,-0.586432011854418,-0.0585860248448951,-0.565010484095285,-0.944744067664888,79.427,0.922238629984794,0.593534012721092
"40","Cote d'Ivoire","CIV",75.1,617,3.29862952,57.9,-0.567676695493772,1.88946378747367,1.8622637929737,-0.364191353072257,0.460817255992605,0.408623839669124,59.319,-1.68651369790295,0.118425548035921
"41","Croatia","HRV",1040.1,8,6.97861767,3.9,-0.0643940402180597,-0.870864579397283,-0.665288317433628,-0.0289070204112318,-0.888954618597932,-1.45952433442481,78.42439024,0.792163011058844,0.578886997780406
"42","Cuba","CUB",1031.9,36,11.34020519,4.1,-0.0686706389468273,-0.860641141001465,-0.549079025001108,-0.0308967052783283,-0.85586541811044,-0.821250397777489,77.611,0.686636171886319,0.566630279906448
"43","Cyprus","CYP",1996.5,6,7.00903225,2.3,0.434403401756749,-0.95265208656383,-0.673588981178808,0.156671306505628,-1.32469915505827,-1.57821484529489,81.397,1.17782059168854,0.620949786119965
"44","Czech Republic","CZE",1844.2,3,7.83470726,2.3,0.354973403416344,-0.95265208656383,-0.686039976796579,0.131930770588371,-1.32469915505827,-1.85511385985688,79.22926829,0.896585503927515,0.590684210531952
"45","Denmark","DNK",6003.3,4,9.95583057,3.1,2.52409557083315,-0.911758332980557,-0.681889644923989,0.547047677640878,-1.05432629600636,-1.74207303471959,81.45121951,1.18485487023088,0.621680401361347
"46","Djibouti","DJI",61.8,248,1.79826784,47.2,-0.574613130017261,1.34250983329739,0.330791331987979,-0.371215919186572,0.369681422628261,0.0131707578749697,63.085,-1.19792401882869,0.255773098245579
"47","Dominican Republic","DOM",491.1,95,5.929142,27.9,-0.350717540473361,0.35594802810092,-0.304209444518296,-0.187566329506247,0.132243043851442,-0.402534573320926,73.577,0.163276967057437,0.500137219104674
"48","Ecuador","ECU",486.5,59,7.81824684,11.1,-0.353116608052914,-0.502820797147822,-0.453621391931537,-0.189173998771902,-0.303487046312459,-0.608397002681043,77.297,0.645898742457397,0.56180460282618
"49","Egypt","EGY",149.8,37,4.73997355,16.6,-0.528717924147558,-0.221676241262817,-0.544928693128518,-0.326719077334372,-0.108839712284149,-0.80946855305795,71.358,-0.124609516709366,0.458696831016229
"50","El Salvador","SLV",300.1,46,7.16578436,11.1,-0.450330998667828,-0.502820797147822,-0.507575706275207,-0.259898754447747,-0.303487046312459,-0.71574009880246,72.559,0.0312046640044373,0.481615260500584
"51","Equatorial Guinea","GNQ",254.9,301,3.13503671,58.3,-0.473904445319084,1.90991066426531,0.550758921235251,-0.278935367820224,0.463879656129493,0.0971736092403748,61.644,-1.38487508827797,0.208206115753062
"52","Eritrea","ERI",25.3,480,4.45876694,29.7,-0.59364920972458,0.447958973663285,1.29366832642887,-0.391098891289715,0.160756256775448,0.299652909250009,67.3,-0.651082410411796,0.370867780074784
"53","Estonia","EST",1598.8,9,6.7304492,1.7,0.226988363411516,-0.983322401751285,-0.661137985561038,0.0888404439575411,-1.77786649221343,-1.41047469120278,78.64634146,0.82095830456653,0.582172298563709
"54","Eswatini","SWZ",264.1,437,6.78069067,37.4,-0.469106310159979,0.841561351902292,1.1152040559075,-0.274992436617678,0.265186192020026,0.258925453269275,60.549,-1.5269371431336,0.16822127895926
"55","Ethiopia","ETH",26.7,401,3.23808599,35.4,-0.592919058722108,0.739326967944108,0.965792108494255,-0.390319229950738,0.240381230666344,0.221620800331622,65.838,-0.840757957625436,0.334301327732936
"56","Fiji","FJI",235.7,34,3.81607008,23,-0.483917944781565,0.10547378740337,-0.557379688746288,-0.287281241598722,0.0435484492023509,-0.845818620085468,67.893,-0.574148347827877,0.384864238981936
"57","Finland","FIN",4450.3,3,9.15348339,1.9,1.71414949451897,-0.973098963355467,-0.686039976796579,0.433633764788941,-1.570230983926,-1.85511385985688,81.98292683,1.25383700215872,0.628780844659504
"58","France","FRA",4491.7,8,11.05747223,3.4,1.73574110273494,-0.896423175386829,-0.665288317433628,0.437074995469971,-0.984737407414636,-1.45952433442481,82.82682927,1.36332240373322,0.639817303976786
"59","Gabon","GAB",215,252,2.76836205,30.7,-0.494713748889552,0.499076165642377,0.34739265947834,-0.296462518797393,0.17582369921109,0.0201095258770744,66.603,-0.74150912478109,0.353818340259343
"60","Gambia, The","GMB",29.7,597,3.82171082,34.7,-0.591354449431095,0.703544933558744,1.7792571555219,-0.388653225422269,0.231353593224854,0.394321575348704,63.755,-1.11100020444213,0.276231910919136
"61","Georgia","GEO",291.1,25,6.65744257,8.2,-0.455024826540866,-0.651060653887188,-0.594732675599598,-0.263623281714713,-0.457250057103225,-0.977706415470065,73.47,0.149395104162868,0.49822714802741
"62","Germany","DEU",5440.3,7,11.69724941,3.1,2.23047056055312,-0.911758332980557,-0.669438649306219,0.509265787645933,-1.05432629600636,-1.51482745553178,81.29268293,1.16428680418103,0.619540632746238
"63","Ghana","GHA",75.3,308,3.41858864,33,-0.567572388207704,0.616645707194288,0.579811244343381,-0.364086582835818,0.208614853382269,0.107145921534612,64.74,-0.983209223590263,0.304660846470693
"64","Greece","GRC",1500.6,3,7.83788586,3.6,0.175773485952371,-0.886199736991011,-0.686039976796579,0.0703236624915987,-0.94385673422196,-1.85511385985688,81.63902439,1.20922011878313,0.62420163752594
"65","Guatemala","GTM",271,95,6.21161032,20.1,-0.46550770879065,-0.042766069335996,-0.304209444518296,-0.272058554083611,-0.0189819155339737,-0.402534573320926,73.129,0.105154774751206,0.4920832522244
"66","Guinea","GIN",43,576,3.98389959,62,-0.584418014907606,2.09904427458795,1.69210018619751,-0.381343286775442,0.491227780844602,0.378779364865527,59.72,-1.63448914630741,0.13529515645676
"67","Guinea-Bissau","GNB",62.6,667,8.34976101,51.4,-0.574195900872991,1.55720203960958,2.0697803866032,-0.370790162015423,0.407765042152735,0.442445335610494,60.882,-1.48373471001312,0.180775193313012
"68","Guyana","GUY",325.9,169,4.93048668,23.8,-0.43687535876512,0.146367540986644,0.00291511405336685,-0.249395468364563,0.059323880660433,-0.153097118399967,69.124,-0.414442056022139,0.412554275029328
"69","Haiti","HTI",57,480,4.72808981,46.7,-0.577116504882881,1.31695123730785,1.29366832642887,-0.37377926476901,0.364916893698921,0.299652909250009,64.255,-1.04613168624321,0.29089528991705
"70","Honduras","HND",187.6,65,7.2839179,13.9,-0.5090038470808,-0.359692659606365,-0.428719400695997,-0.308921910672364,-0.193611519456205,-0.566581263800104,72.881,0.0729799897245417,0.48755973227704
"71","Hungary","HUN",1062.4,12,6.35002232,3.4,-0.0527637778215328,-0.896423175386829,-0.648686989943268,-0.0235417029443717,-0.984737407414636,-1.28977250858208,76.3195122,0.519082372170354,0.546429432609662
"72","Iceland","ISL",6275,4,8.63868046,1.5,2.66579701895585,-0.993545840147103,-0.681889644923989,0.56416841371186,-2.19016028244448,-1.74207303471959,83.16341463,1.40698999083452,0.644142064140445
"73","India","IND",63.7,145,3.0141468,27,-0.573622210799619,0.309942555319737,-0.0966928508887939,-0.370205426586898,0.117252251033884,-0.21946152832001,70.91,-0.182731709015599,0.44982820720795
"74","Indonesia","IDN",120.1,177,2.90493584,19.5,-0.544207556128583,-0.0734363845234511,0.0361177690340871,-0.341232878831266,-0.0331247577784581,-0.133052698773846,70.518,-0.233588627283551,0.441916761318022
"75","Iran","IRN",470.4,16,6.71061659,11.1,-0.361513344581348,-0.502820797147822,-0.632085662452908,-0.194848175203394,-0.303487046312459,-1.16803853116469,76.103,0.490992720998377,0.542948943276071
"76","Iraq","IRQ",253.3,79,4.47671509,21.3,-0.474738903607625,0.0185745610389141,-0.370614754479736,-0.279624764146047,0.00799282544472833,-0.482295858513702,71.576,-0.0963268427746386,0.462947729795953
"77","Ireland","IRL",5428.6,5,6.67931509,2.6,2.22436858431817,-0.937316928970102,-0.677739313051399,0.508444681081547,-1.20284973430514,-1.65246143778282,82.70243902,1.34718438134143,0.638208060733961
"78","Israel","ISR",3456.4,3,7.46131897,2.9,1.1957944364065,-0.921981771376375,-0.686039976796579,0.341591680353173,-1.10780391441539,-1.85511385985688,82.80487805,1.3604745175051,0.639533752828344
"79","Italy","ITA",2905.5,2,8.66856861,2.5,0.90848001693356,-0.942428648168012,-0.690190308669169,0.280687616954271,-1.23979357276338,-2.00834465780106,83.49756098,1.45034114800668,0.648393303793964
"80","Jamaica","JAM",327.4,80,6.09748316,11.4,-0.436093054119614,-0.487485639554095,-0.366464422607146,-0.24879255598986,-0.290293961345302,-0.476857834187298,71.767,-0.0715470688226511,0.466638248034723
"81","Japan","JPN",4360.5,5,10.74372482,1.8,1.66731552307466,-0.978210682553376,-0.677739313051399,0.426074392452201,-1.66175637387525,-1.65246143778282,84.35634146,1.56175678239819,0.659132126429848
"82","Jordan","JOR",334,46,7.58246946,12.9,-0.432650913679386,-0.410809851585457,-0.507575706275207,-0.246149640204109,-0.229744523412861,-0.71574009880246,76.044,0.483338235850905,0.54199564696229
"83","Kazakhstan","KAZ",273,10,2.78745675,8.9,-0.464464635929975,-0.615278619501824,-0.656987653688448,-0.271211845255353,-0.414853677549802,-1.36640686615629,73.18,0.111771363607496,0.493007679843554
"84","Kenya","KEN",83.4,342,4.59182692,31.2,-0.56334794312197,0.524634761631923,0.720922528011443,-0.35986448972817,0.183165817449507,0.152570399831526,62.943,-1.21634667799718,0.251310447028905
"85","Korea (Dem. People・・s Rep.)","PRK",NA,89,NA,11.6,NA,-0.477262201158276,-0.329111435753836,NA,-0.281716095205751,-0.430756557238533,73.198,0.114106630262656,0.493333479183236
